,county,state,2020 Democrat vote raw,2020 Democrat vote %,2020 Republican vote raw,2020 Republican vote %,2020 other vote raw,2020 other vote %,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Median income (dollars),Mean income (dollars),Area in square Km,Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,NH-American Indian and Alaska Native percentage,NH-Asian percentage,NH-Native Hawaiian and Other Pacific Islander percentage,NH-Some Other Race percentage,NH-Two or More Races percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation
"Rockland County, New York",Rockland County,NewYork,75802,50.41,73186,48.67,1381,0.92,5.20%,6.20%,22.10%,16.50%,7.60%,23.50%,19.00%,0.471,"1,06,173","1,42,392",449.84,749.88,338329,19.64,60.92,9.98,0.12,6.03,0.01,1.02,2.28,47.84,17.23,20.59,5.99,8.35
"Saratoga County, New York",Saratoga County,NewYork,68471,51.62,61305,46.21,2879,2.17,1.90%,4.10%,24.30%,15.20%,11.10%,24.10%,19.30%,0.4309,"97,038","1,22,874",2097.81,112.65,235509,3.68,86.53,1.59,0.13,3.16,0.03,0.35,4.53,49,14.51,20.69,6.61,9.19
"Schenectady County, New York",Schenectady County,NewYork,42465,56.72,30741,41.06,1656,2.21,3.10%,5.20%,26.70%,18.00%,12.70%,18.90%,15.30%,0.4358,"75,056","95,776",530.09,300.79,158061,7.91,66.35,10.09,0.59,5.24,0.08,2.83,6.91,43.51,17.53,20.88,7.38,10.7
"Schoharie County, New York",Schoharie County,NewYork,5345,34.08,9903,63.14,437,2.79,2.50%,6.40%,34.50%,19.30%,12.40%,13.50%,11.40%,0.4269,"71,479","88,043",1610.5,18.61,29714,3.62,89.72,0.93,0.23,0.71,0.01,0.41,4.38,37.21,15.9,19.14,14.23,13.52
"Schuyler County, New York",Schuyler County,NewYork,3903,40.07,5621,57.71,216,2.22,2.50%,5.60%,35.50%,19.80%,12.10%,12.60%,11.90%,0.4411,"61,316","81,139",850.41,21,17898,1.84,92.85,0.51,0.21,0.6,0.01,0.24,3.74,35.82,21.39,18.95,8.9,14.93
"Seneca County, New York",Seneca County,NewYork,6914,44.3,8329,53.36,365,2.34,5.30%,10.50%,32.50%,15.80%,13.70%,13.50%,8.60%,0.4597,"64,050","83,450",838.37,40.14,33814,4.04,86.57,3.74,0.45,0.79,0.01,0.24,4.17,34.24,18.85,18.75,14.42,13.74
"St. Lawrence County, New York",St. Lawrence County,NewYork,19361,43.22,24608,54.93,831,1.85,4.50%,6.70%,35.50%,17.10%,12.70%,12.00%,11.50%,0.4486,"58,339","75,136",6939.94,15.66,108505,2.61,88.99,2.57,1.05,1,0.02,0.27,3.48,36.49,23.04,17.79,9.52,13.17
"Steuben County, New York",Steuben County,NewYork,15790,34.19,29474,63.83,915,1.98,3.00%,5.50%,34.90%,16.60%,14.10%,12.90%,13.00%,0.4477,"62,506","82,673",3601.4,25.99,93584,1.84,90.12,1.51,0.22,1.73,0.01,0.32,4.25,39.18,16.53,17.94,11.03,15.31
"Suffolk County, New York",Suffolk County,NewYork,381021,49.38,381253,49.41,9267,1.2,5.00%,4.50%,25.40%,16.50%,9.60%,21.10%,17.90%,0.4428,"1,22,498","1,56,189",2359.28,646.17,1525920,21.82,63.39,7.03,0.2,4.26,0.02,0.62,2.66,43.35,16.65,21.94,8.8,9.26
"Sullivan County, New York",Sullivan County,NewYork,15489,44.71,18665,53.87,493,1.42,5.50%,7.90%,31.00%,17.60%,10.20%,16.20%,11.50%,0.4866,"67,841","95,336",2507.48,31.4,78624,17.82,67.02,7.72,0.22,2,0.01,0.77,4.45,36.13,23.95,18.51,9.5,11.91
"Tioga County, New York",Tioga County,NewYork,9634,38.48,14791,59.08,611,2.44,2.10%,5.80%,35.70%,16.10%,13.90%,15.60%,10.70%,0.4317,"70,427","89,281",1343.6,35.98,48455,2.31,91.21,0.9,0.13,0.76,0.02,0.33,4.35,37.44,15.54,20.28,11.23,15.5
"Tompkins County, New York",Tompkins County,NewYork,33619,73.51,11096,24.26,1020,2.23,1.70%,2.60%,17.00%,12.60%,8.60%,24.60%,32.90%,0.4945,"69,995","98,898",1229.32,83.42,105740,6.69,72.57,4.04,0.23,9.92,0.03,0.59,5.92,58.33,14.9,15.67,4.59,6.51
"Ulster County, New York",Ulster County,NewYork,57970,59.51,37590,38.59,1860,1.91,2.50%,6.00%,28.30%,17.60%,10.00%,19.50%,16.10%,0.4787,"77,197","1,06,932",2911.76,62.56,181851,11.61,75.17,5.58,0.17,2.08,0.02,0.67,4.7,42.08,19.63,18.63,9.74,9.91
"Warren County, New York",Warren County,NewYork,17642,48.8,17699,48.96,808,2.24,2.40%,5.90%,28.40%,17.30%,12.10%,17.80%,16.00%,0.4409,"74,531","97,659",2246.09,29.24,65737,2.67,90.21,1.12,0.21,1.11,0,0.29,4.4,41.1,18.36,21.42,7.65,11.47
"Washington County, New York",Washington County,NewYork,11565,41.16,15941,56.73,595,2.12,4.00%,6.90%,38.90%,18.00%,11.10%,12.50%,8.60%,0.4128,"68,703","84,096",2152.77,28.48,61302,2.87,89.08,2.55,0.24,0.52,0.04,0.23,4.47,32.92,18.03,21.36,11.98,15.71
"Wayne County, New York",Wayne County,NewYork,17456,39.03,26204,58.59,1067,2.39,3.70%,5.80%,31.60%,20.40%,13.50%,15.40%,9.60%,0.4225,"71,007","87,951",1563.91,58.39,91283,4.95,86.8,2.63,0.19,0.52,0.01,0.3,4.62,36.75,15.81,20.04,11.29,16.1
"Westchester County, New York",Westchester County,NewYork,312371,67.57,144713,31.31,5181,1.12,5.50%,5.20%,17.90%,13.00%,6.70%,25.60%,26.20%,0.5347,"1,14,651","1,80,479",1115.81,894.33,1004457,26.81,49.55,13.04,0.1,6.46,0.01,0.86,3.16,52.39,16,18.46,6.67,6.47
"Wyoming County, New York",Wyoming County,NewYork,5073,26.15,13898,71.64,428,2.21,3.30%,9.20%,37.90%,17.40%,14.00%,11.00%,7.20%,0.4105,"65,066","81,765",1535.09,26.28,40531,3.68,87.78,4.57,0.2,0.54,0.01,0.19,3.03,31.88,19.78,18.96,15.05,14.34
"Yates County, New York",Yates County,NewYork,4219,39.43,6208,58.01,274,2.56,11.50%,4.20%,35.60%,14.80%,9.90%,14.20%,9.80%,0.4544,"63,974","84,877",875.78,28.22,24774,2.72,93.04,0.59,0.11,0.38,0.03,0.31,2.83,31.77,19.05,18.32,14.3,16.56
"Alamance County, North Carolina",Alamance County,NorthCarolina,38825,45.1,46056,53.5,1210,1.41,4.70%,7.00%,27.90%,22.10%,11.00%,19.00%,8.40%,0.4398,"60,866","79,258",1096.74,156.63,171415,14.41,59.79,19.58,0.34,1.64,0.05,0.44,3.75,34.57,15.88,22.86,9.75,16.93
"Alexander County, North Carolina",Alexander County,NorthCarolina,4145,20.48,15888,78.51,203,1,4.40%,9.60%,40.50%,18.90%,11.20%,11.00%,4.30%,0.4332,"62,764","79,024",673.36,54.21,36444,5.04,84.77,5.27,0.3,1.07,0,0.23,3.32,27.26,13.25,18.27,10.67,30.55
"Alleghany County, North Carolina",Alleghany County,NorthCarolina,1486,24.46,4527,74.51,63,1.04,4.50%,13.20%,30.10%,22.50%,9.00%,13.40%,7.30%,0.5151,"42,115","70,181",608.22,18.07,10888,11.83,84.37,0.95,0.32,0.14,0.06,0.04,2.31,36.69,17.49,18.7,14.22,12.9
"Anson County, North Carolina",Anson County,NorthCarolina,5789,51.72,5321,47.53,84,0.75,4.60%,12.90%,43.90%,17.90%,9.30%,8.70%,2.60%,0.448,"42,000","56,821",1376.48,16.13,22055,3.02,48.03,44.61,0.4,1,0.02,0.17,2.75,21.06,19.05,14.94,10.81,34.14
"Ashe County, North Carolina",Ashe County,NorthCarolina,4164,26.33,11451,72.41,199,1.26,3.30%,9.70%,30.10%,23.00%,13.10%,12.60%,8.20%,0.4414,"49,176","64,973",1104.02,24.24,26577,5.72,90.41,0.47,0.18,0.38,0.05,0.16,2.63,30.77,16.3,20.98,16.64,15.3
"Avery County, North Carolina",Avery County,NorthCarolina,2191,23.17,7172,75.83,95,1,4.80%,8.20%,31.00%,24.60%,9.00%,13.60%,8.70%,0.4915,"53,513","79,769",640.6,27.6,17806,5.54,87.32,3.64,0.33,0.31,0.01,0.25,2.59,32.61,23.99,21.72,13.05,8.63
"Beaufort County, North Carolina",Beaufort County,NorthCarolina,9633,36.61,16437,62.46,245,0.93,5.30%,7.90%,31.50%,23.90%,11.90%,12.20%,7.20%,0.4701,"56,081","75,433",2156.78,20.73,44652,7.69,65.91,22.83,0.2,0.37,0.04,0.27,2.69,32.55,17.28,19.15,14.69,16.33
"Bertie County, North Carolina",Bertie County,NorthCarolina,5939,60.51,3817,38.89,59,0.6,4.60%,14.80%,36.30%,20.10%,7.60%,10.90%,5.70%,0.5397,"41,652","67,133",1810.86,9.84,17934,1.84,35.12,59.52,0.32,0.35,0,0.27,2.58,29.15,17.23,18.93,12.08,22.61
"Bladen County, North Carolina",Bladen County,NorthCarolina,7326,42.78,9676,56.5,123,0.72,3.50%,8.40%,33.90%,23.80%,10.30%,14.00%,6.20%,0.526,"40,476","62,016",2266.32,13.15,29606,8.6,53.47,32.1,2.37,0.16,0.03,0.23,3.05,29.77,17.44,17.86,13.84,21.09
"Brunswick County, North Carolina",Brunswick County,NorthCarolina,33310,36.94,55850,61.94,1015,1.13,1.80%,4.70%,26.80%,22.40%,11.90%,20.40%,12.00%,0.4426,"71,193","93,733",2201.67,63.46,136693,5.43,81,8.33,0.54,0.65,0.05,0.27,3.72,35.99,18.44,22.84,11.66,11.08
"Buncombe County, North Carolina",Buncombe County,NorthCarolina,96515,59.74,62412,38.63,2642,1.64,3.00%,4.90%,23.20%,17.20%,8.80%,25.60%,17.50%,0.4803,"66,531","94,799",1700.3,158.47,269452,8.14,79.74,5.57,0.27,1.22,0.17,0.51,4.38,41.58,18.56,20.57,8.54,10.74
"Burke County, North Carolina",Burke County,NorthCarolina,13118,29.41,31019,69.55,465,1.04,6.10%,9.20%,32.40%,20.60%,12.10%,12.40%,7.40%,0.4534,"53,732","73,190",1311.15,66.96,87570,8.2,78.41,5.44,0.27,3.6,0.07,0.27,3.73,31.59,18.6,17.58,10.24,21.98
"Cabarrus County, North Carolina",Cabarrus County,NorthCarolina,52162,44.5,63237,53.94,1828,1.56,2.80%,5.30%,26.00%,19.90%,9.70%,24.00%,12.50%,0.4346,"83,828","1,07,449",935.59,241.98,225804,12.07,59.25,18.46,0.26,5.28,0.05,0.49,4.12,43.19,14.01,21.23,9.04,12.53
"Caldwell County, North Carolina",Caldwell County,NorthCarolina,10245,23.92,32119,74.99,465,1.09,6.00%,12.10%,31.80%,22.30%,10.50%,12.30%,4.90%,0.4376,"52,362","69,926",1222.18,66.04,80652,6.1,84.15,4.76,0.24,0.65,0.02,0.3,3.77,28.55,15.8,21.31,10.26,24.08
"Camden County, North Carolina",Camden County,NorthCarolina,1537,25.82,4312,72.43,104,1.75,3.40%,4.30%,30.30%,24.60%,13.00%,16.40%,8.00%,0.3509,"79,120","88,224",622.44,16.94,10355,3.28,79.19,10.13,0.39,1.14,0.01,0.51,5.35,46.13,15.06,19.51,10.85,8.45
"Carteret County, North Carolina",Carteret County,NorthCarolina,12093,28.32,30028,70.33,574,1.34,1.90%,6.00%,23.60%,25.10%,11.60%,19.80%,12.00%,0.4516,"66,965","87,752",1314.69,51.99,67686,4.61,85.01,4.74,0.37,0.86,0.09,0.37,3.94,38.17,19.32,20.84,10.3,11.36
"Caswell County, North Carolina",Caswell County,NorthCarolina,4860,40.33,7089,58.82,102,0.85,4.70%,11.60%,37.10%,19.90%,11.30%,9.90%,5.60%,0.4249,"56,999","69,538",1102,20.64,22736,4.41,61.73,29.93,0.29,0.27,0.06,0.25,3.07,29.93,17.49,17.95,13.58,21.05
"Catawba County, North Carolina",Catawba County,NorthCarolina,25689,30.79,56588,67.83,1148,1.38,4.20%,8.40%,30.00%,20.20%,12.40%,17.30%,7.50%,0.4656,"62,070","84,380",1039.55,154.89,160610,10.82,72.3,7.86,0.24,4.32,0.05,0.34,4.08,33.5,13.94,19.6,7.92,25.05
"Chatham County, North Carolina",Chatham County,NorthCarolina,26787,55.12,21186,43.59,626,1.29,4.70%,5.90%,18.20%,15.80%,8.90%,24.70%,21.80%,0.4961,"84,222","1,26,028",1765.03,43.49,76285,13.6,69.59,10.18,0.23,2.12,0.03,0.4,3.85,49.35,14.81,16.41,9.5,9.93
"Cherokee County, North Carolina",Cherokee County,NorthCarolina,3583,21.82,12628,76.89,212,1.29,2.70%,6.10%,33.00%,21.90%,12.60%,15.70%,8.00%,0.4215,"49,254","63,371",1179.84,24.47,28774,3.12,88.16,1.3,1.45,0.55,0,0.23,5.2,29.58,18.37,26.96,12.17,12.92
"Chowan County, North Carolina",Chowan County,NorthCarolina,3247,41.71,4471,57.44,66,0.85,4.20%,9.20%,33.60%,19.90%,8.90%,15.10%,9.10%,0.4635,"51,188","70,291",447.18,30.94,13708,3.87,60.32,31.92,0.31,0.28,0.01,0.13,3.16,34.13,24.43,19.08,8.58,13.78
"Clay County, North Carolina",Clay County,NorthCarolina,1699,24.65,5112,74.16,82,1.19,3.50%,8.20%,24.30%,22.10%,13.10%,17.60%,11.20%,0.4735,"57,065","77,381",556.85,20.09,11089,3.95,90.58,0.54,0.4,0.36,0.06,0.21,3.9,37.98,18.63,21.98,9.94,11.47
"Cleveland County, North Carolina",Cleveland County,NorthCarolina,16955,33.05,33798,65.87,555,1.08,4.30%,9.00%,34.70%,19.50%,13.20%,12.30%,7.10%,0.4637,"50,723","70,141",1202.4,82.77,99519,4.06,70.5,20.13,0.22,0.86,0.02,0.33,3.88,31.45,16.81,19.73,9.69,22.31
"Columbus County, North Carolina",Columbus County,NorthCarolina,9446,35.72,16832,63.65,168,0.64,4.90%,9.40%,37.50%,22.80%,10.80%,9.70%,4.80%,0.4745,"43,206","60,288",2429.72,20.92,50623,5.16,59.3,28.65,3.3,0.31,0.02,0.28,2.98,30.95,21.74,16.97,12.27,18.07
"Craven County, North Carolina",Craven County,NorthCarolina,21148,39.85,31032,58.48,885,1.67,3.00%,6.10%,26.80%,26.70%,11.70%,15.10%,10.50%,0.457,"61,676","80,975",1830.01,55.24,100720,7.14,64.47,19.76,0.32,3.04,0.15,0.44,4.68,36.26,19.4,20.15,9.13,15.06
"Cumberland County, North Carolina",Cumberland County,NorthCarolina,84469,57.4,60032,40.8,2649,1.8,2.20%,5.50%,26.50%,27.70%,11.20%,17.40%,9.50%,0.4499,"55,551","72,768",1690.14,198.33,334728,11.8,39.79,37.1,1.39,2.67,0.41,0.66,6.19,34.65,19.67,21.81,8.23,15.64
"Currituck County, North Carolina",Currituck County,NorthCarolina,4195,25.98,11657,72.19,295,1.83,2.10%,5.10%,32.60%,23.70%,9.50%,18.60%,8.50%,0.4023,"82,793","1,01,733",678.34,42.19,28100,4.33,83.65,4.9,0.35,0.94,0.08,0.39,5.36,37.83,17.62,18.84,14.33,11.37
"Dare County, North Carolina",Dare County,NorthCarolina,9936,41,13938,57.52,358,1.48,1.30%,3.80%,21.30%,22.00%,9.10%,28.00%,14.60%,0.4171,"79,742","1,04,954",992.56,37.44,36915,6.92,86.47,1.84,0.27,0.7,0.03,0.38,3.39,40.2,16.2,22.34,13.25,8.01
"Davidson County, North Carolina",Davidson County,NorthCarolina,22636,25.57,64658,73.05,1220,1.38,4.00%,9.40%,32.70%,22.80%,10.60%,14.40%,6.00%,0.4358,"58,473","76,539",1432.73,118.3,168930,8.23,76.65,9.38,0.39,1.44,0.03,0.29,3.59,31.59,15.11,22.22,11.8,19.28
"Davie County, North Carolina",Davie County,NorthCarolina,6713,26.52,18228,72.02,370,1.46,3.00%,7.10%,30.40%,23.60%,9.60%,17.40%,8.80%,0.4196,"69,105","88,895",682.98,63,42712,7.9,81.5,5.65,0.22,0.65,0.01,0.29,3.78,37.01,15.49,19.52,10.91,17.07
"Duplin County, North Carolina",Duplin County,NorthCarolina,8767,38.6,13793,60.72,155,0.68,8.50%,11.20%,31.50%,22.40%,10.50%,11.40%,4.50%,0.4172,"49,376","63,219",2110.12,23.37,48715,22.2,51.21,23.48,0.32,0.32,0.01,0.25,2.23,26.75,18.54,14.55,15.14,25.01
"Durham County, North Carolina",Durham County,NorthCarolina,144688,80.42,32459,18.04,2767,1.54,4.90%,4.40%,17.20%,14.30%,7.30%,27.10%,24.80%,0.4632,"74,927","1,03,151",744.74,436.53,324833,15.42,41.18,33.62,0.22,5.14,0.03,0.56,3.83,54.53,14.81,16.39,6.6,7.66
"Edgecombe County, North Carolina",Edgecombe County,NorthCarolina,16089,63.15,9206,36.13,182,0.71,4.90%,9.50%,38.00%,21.70%,8.10%,13.00%,4.80%,0.4606,"46,370","63,926",1309.07,37.48,48900,5.53,35.46,55.83,0.26,0.23,0.02,0.28,2.39,27.14,20.34,21.59,7.34,23.59
"Forsyth County, North Carolina",Forsyth County,NorthCarolina,113033,56.16,85064,42.26,3173,1.58,4.20%,6.50%,24.90%,20.20%,8.80%,21.40%,13.90%,0.484,"61,229","86,880",1056.35,363.27,382590,14.29,54.4,24.5,0.26,2.4,0.06,0.42,3.67,41.93,15.84,20.87,7.86,13.5
"Franklin County, North Carolina",Franklin County,NorthCarolina,15879,42.51,20901,55.96,571,1.53,5.60%,7.50%,29.40%,23.00%,10.80%,16.20%,7.50%,0.4107,"70,493","85,754",1273.76,54.7,68573,10.15,61.66,23.02,0.38,0.66,0.02,0.4,3.7,36.57,16.2,21.17,11.89,14.17
"Gaston County, North Carolina",Gaston County,NorthCarolina,40959,35.46,73033,63.23,1506,1.3,3.80%,8.60%,29.40%,22.00%,11.20%,17.60%,7.40%,0.4589,"62,628","83,359",921.39,248.51,227943,8.8,67.41,17.44,0.33,1.54,0.03,0.37,4.08,34.74,15.05,21.09,10.64,18.48
"Gates County, North Carolina",Gates County,NorthCarolina,2546,42.64,3367,56.39,58,0.97,3.20%,6.30%,43.40%,28.30%,9.80%,5.30%,3.60%,0.3952,"55,750","67,399",882.18,11.91,10478,1.92,63.99,28.84,0.61,0.2,0.1,0.28,4.07,22.87,19.06,24.52,18.18,15.37
"Graham County, North Carolina",Graham County,NorthCarolina,905,19.4,3710,79.53,50,1.07,4.30%,11.70%,35.60%,22.90%,11.80%,10.10%,3.70%,0.4296,"46,010","62,085",756.19,10.64,8030,2.73,85.74,0.57,7.1,0.25,0.05,0.05,3.51,28.32,29.64,12.68,17.31,12.05
"Granville County, North Carolina",Granville County,NorthCarolina,14565,46.09,16647,52.68,386,1.22,5.90%,8.20%,30.70%,21.40%,10.10%,16.20%,7.40%,0.4397,"68,079","85,612",1377.85,44.39,60992,10.18,55.11,30.03,0.34,0.6,0.04,0.34,3.37,38.13,14.72,21.38,9.73,16.04
"Greene County, North Carolina",Greene County,NorthCarolina,3832,43.78,4874,55.68,47,0.54,10.40%,13.60%,33.70%,19.10%,11.80%,8.10%,3.40%,0.4015,"50,320","59,360",690.84,29.54,20451,14.36,47.16,35.24,0.46,0.18,0,0.38,2.22,29.35,18,16.02,14.25,22.38
"Guilford County, North Carolina",Guilford County,NorthCarolina,173086,60.84,107294,37.72,4106,1.44,3.90%,6.00%,22.70%,20.40%,9.10%,23.90%,14.00%,0.4853,"62,880","90,034",1673.08,322.49,541299,9.63,47.23,33.15,0.35,5.31,0.04,0.53,3.77,39.32,16.12,22.09,6.91,15.55
"Halifax County, North Carolina",Halifax County,NorthCarolina,15545,60.35,10080,39.13,134,0.52,6.10%,12.80%,36.70%,19.80%,8.90%,10.00%,5.70%,0.4919,"41,629","59,133",1874.47,26.02,48622,2.99,39.22,50.88,3.28,0.58,0.02,0.29,2.74,29.06,20.53,19.33,7.9,23.18
"Harnett County, North Carolina",Harnett County,NorthCarolina,22093,37.9,35177,60.35,1023,1.75,4.50%,7.30%,29.00%,23.60%,12.80%,15.10%,7.60%,0.4273,"64,992","79,400",1541.21,87.41,133568,14.15,58.3,20.04,0.73,1.05,0.18,0.53,5.01,34.55,16.68,19.64,12.57,16.55
"Haywood County, North Carolina",Haywood County,NorthCarolina,13144,35.97,22834,62.49,564,1.54,3.20%,6.40%,27.00%,22.30%,12.40%,17.60%,11.20%,0.4529,"56,596","77,027",1433.71,43.35,62089,4.56,89.69,1.06,0.5,0.58,0,0.25,3.37,37.86,20.58,20.03,7.97,13.55
"Henderson County, North Carolina",Henderson County,NorthCarolina,27211,39.8,40032,58.55,1128,1.65,3.40%,5.00%,25.20%,21.70%,10.70%,21.20%,12.70%,0.4511,"65,508","86,842",965.93,120.58,116281,12.9,78.9,2.84,0.24,1.11,0.21,0.34,3.45,35.1,19.49,21.07,9.73,14.61
"Hertford County, North Carolina",Hertford County,NorthCarolina,7097,66.74,3479,32.72,58,0.55,4.70%,11.40%,35.00%,22.50%,10.30%,9.40%,6.60%,0.4771,"46,196","63,791",914.69,23.65,21552,7.33,31.19,56.68,0.87,0.52,0.01,0.46,2.94,29.48,18.59,17.75,10.53,23.65
"Hoke County, North Carolina",Hoke County,NorthCarolina,11804,54.55,9453,43.69,382,1.77,4.50%,6.60%,27.90%,26.30%,14.50%,13.70%,6.50%,0.4841,"57,141","77,441",1010.49,52.07,52082,14.76,37.76,31.46,7.3,1.37,0.36,0.65,6.33,33.8,19.12,21.95,8.82,16.32
"Hyde County, North Carolina",Hyde County,NorthCarolina,1046,41.97,1418,56.9,28,1.12,4.70%,14.30%,37.90%,17.30%,11.60%,11.50%,2.80%,0.4022,"43,724","49,100",1585.96,2.92,4589,7.56,63.8,25.1,0.15,0.15,0.04,0.33,2.85,37.02,14.61,16.52,6.38,25.46
"Iredell County, North Carolina",Iredell County,NorthCarolina,33888,33.1,67010,65.46,1473,1.44,3.10%,6.00%,26.40%,21.40%,10.30%,22.50%,10.20%,0.4631,"73,103","1,02,803",1487.78,126.25,186693,8.45,73.06,11.39,0.23,2.53,0.03,0.35,3.96,37.15,13.62,22.95,9.04,17.24
"Jackson County, North Carolina",Jackson County,NorthCarolina,9591,44.76,11356,53,481,2.24,3.90%,6.80%,28.40%,19.70%,11.30%,17.30%,12.50%,0.4898,"51,482","74,303",1271.97,33.32,43109,7.64,76.09,1.71,8.93,1.15,0.02,0.24,4.22,34.1,28.02,19.99,9.21,8.68
"Johnston County, North Carolina",Johnston County,NorthCarolina,41257,37.05,68353,61.38,1747,1.57,4.50%,6.00%,27.70%,22.10%,13.50%,19.10%,7.10%,0.4211,"75,288","93,586",2051.32,106.78,215999,15.93,63.18,15.3,0.41,0.85,0.03,0.42,3.89,36.85,15.42,20.96,12.91,13.85
"Jones County, North Carolina",Jones County,NorthCarolina,2197,39.76,3280,59.37,48,0.87,4.40%,9.80%,36.80%,23.20%,10.00%,11.80%,3.90%,0.4466,"53,053","66,122",1220.84,7.59,9172,4.3,63.09,27.95,0.46,0.35,0,0.38,3.47,27.11,18.09,19.16,14.98,20.66
"Lee County, North Carolina",Lee County,NorthCarolina,12143,41.86,16469,56.77,396,1.37,6.20%,8.60%,26.90%,24.00%,13.20%,14.70%,6.30%,0.4309,"60,941","77,283",660.62,96.21,63285,20.73,56.97,16.91,0.37,1.02,0.07,0.36,3.58,30.92,16.49,19.16,11.11,22.32
"Lenoir County, North Carolina",Lenoir County,NorthCarolina,13605,47.89,14590,51.36,214,0.75,5.40%,12.60%,33.30%,20.80%,13.00%,10.40%,4.60%,0.4673,"43,063","60,635",1033.63,53.28,55122,7.92,48.22,39.97,0.24,0.6,0.04,0.24,2.75,28.49,19.33,16.48,12.98,22.73
"Lincoln County, North Carolina",Lincoln County,NorthCarolina,13274,26.43,36341,72.37,602,1.2,3.30%,6.90%,30.20%,21.90%,11.60%,18.60%,7.50%,0.4571,"75,672","1,00,518",766.24,114.76,86810,7.39,82.55,5.07,0.27,0.8,0.02,0.24,3.66,37.76,13.5,22.02,9.19,17.54
"Macon County, North Carolina",Macon County,NorthCarolina,6230,30.03,14211,68.51,302,1.46,4.10%,6.40%,31.90%,23.00%,10.10%,16.00%,8.40%,0.4722,"51,042","70,954",1335.31,27.77,37014,9.45,85.2,0.68,0.45,0.68,0.02,0.28,3.25,32.03,22.47,21.09,12.72,11.68
"Madison County, North Carolina",Madison County,NorthCarolina,4901,37.48,7979,61.02,196,1.5,3.50%,7.50%,31.00%,19.10%,6.60%,21.10%,11.10%,0.4839,"56,664","79,896",1164.5,18.39,21193,3.53,90.75,0.93,0.26,0.4,0,0.34,3.78,39.37,19.19,13.87,15.7,11.88
"Martin County, North Carolina",Martin County,NorthCarolina,5911,47.14,6532,52.09,97,0.77,5.80%,12.20%,30.40%,23.70%,12.40%,11.20%,4.30%,0.4352,"44,799","58,379",1182.1,18.6,22031,4.06,52.33,40.25,0.31,0.44,0,0.29,2.31,29.46,24.56,17.71,10.89,17.38
"McDowell County, North Carolina",McDowell County,NorthCarolina,5832,25.35,16883,73.39,288,1.25,4.10%,9.80%,34.40%,20.90%,12.90%,12.40%,5.50%,0.4413,"53,532","70,427",1139.48,39.17,44578,6.61,84.77,3.83,0.31,0.87,0,0.29,3.33,28.1,15.59,16.87,11.47,27.97
"Mecklenburg County, North Carolina",Mecklenburg County,NorthCarolina,378107,66.68,179211,31.6,9735,1.72,4.70%,4.40%,16.40%,18.60%,8.20%,31.00%,16.80%,0.4923,"79,265","1,17,987",1356.14,822.48,1115482,15.23,44.71,29.12,0.24,6.42,0.05,0.62,3.61,47.21,13.52,21.37,6.69,11.21
"Mitchell County, North Carolina",Mitchell County,NorthCarolina,1867,20.65,7090,78.42,84,0.93,3.70%,6.50%,29.80%,27.00%,11.00%,13.80%,8.30%,0.4733,"55,534","72,863",573.04,26.16,14903,4.7,90.68,0.34,0.2,0.35,0.01,0.2,3.52,34.41,19.93,15.72,11.85,18.08
"Montgomery County, North Carolina",Montgomery County,NorthCarolina,4327,33.68,8411,65.46,111,0.86,4.90%,11.20%,33.90%,19.10%,11.20%,13.20%,6.50%,0.4749,"55,523","75,815",1273.08,20.3,25751,15.24,64.09,16.28,0.3,1.52,0.01,0.18,2.39,29.78,19.8,16.31,13.99,20.12
"Moore County, North Carolina",Moore County,NorthCarolina,20779,35.62,36764,63.02,796,1.36,2.80%,4.40%,20.80%,20.00%,12.20%,23.60%,16.30%,0.4474,"77,981","1,00,144",1806.82,55.77,99727,7.39,75.6,10.57,0.69,1.24,0.06,0.35,4.1,40.94,20.99,19.24,8.66,10.15
"Nash County, North Carolina",Nash County,NorthCarolina,25947,49.64,25827,49.41,497,0.95,4.20%,9.30%,32.60%,20.20%,11.80%,15.30%,6.70%,0.4549,"56,770","77,266",1399.74,67.88,94970,7.71,48.77,38.62,0.65,0.95,0.03,0.43,2.84,33,17.22,20.64,10.18,18.96
"New Hanover County, North Carolina",New Hanover County,NorthCarolina,66138,50.17,63331,48.04,2361,1.79,2.40%,4.10%,19.10%,20.20%,10.80%,28.30%,15.10%,0.4852,"67,515","97,277",497.94,458.16,225702,7.66,74.06,11.95,0.3,1.54,0.07,0.44,3.98,43.43,18.14,21.57,8.14,8.73
"Northampton County, North Carolina",Northampton County,NorthCarolina,6069,60.04,3989,39.46,51,0.5,5.70%,10.80%,34.00%,20.50%,11.20%,10.80%,7.00%,0.4946,"45,698","66,018",1390.07,12.61,17471,2.02,39.12,55.23,0.25,0.15,0.02,0.44,2.77,28.87,19.51,20.61,11.54,19.47
